ID,Code,Authors,Title,Year,Venue
1,AB1,M. Halpern; Y. Zhu; R. Peri; and V. J. Reddi. ,Mosaic: cross-platform user-interaction record and replay for the fragmented Android ecosystem,2015,IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS)
2,AB2,H. Ham and Y. Park. ,Mobile application compatibility test system design for Android fragmentation,2011,International Conference on Advanced Software Engineering and Its Applications (ASEA)
3,AB3,D. Han; C. Zhang; X. Fan; A. Hindle; K. Wong; and E. Stroulia. ,Understanding Android fragmentation with topic analy- sis of vendor-specific bugs,2012,Working Conference on Reverse Engineering (WCRE)
4,AB4,Junfei Huang. ,AppACTS: Mobile app automated compatibility testing service,2014,IEEE International Conference on Mobile Cloud Computing Services and Engineer (MOBILECLOUD)
5,AB9,Sergiy Vilkomir and Brandi Amstutz. ,Using combinatorial approaches for testing mobile applications,2014,IEEE International Conference on Software Testing Verification and Validation (ICST)
6,AB12,Zhang; T.; Gao; J.; Cheng; J.; Uehara; T. ,Compatibility testing service for mobile applications,2015,IEEE Symposium on Service-Oriented System Engineering (SOSE)
7,AF1,Cheng; J.; Zhu; Y.; Zhang; T.; Zhu; C.; Zhou; W. ,Mobile compatibility testing using multi-objective genetic algorithm,2015,IEEE Symposium on Service-Oriented System Engineering (SOSE)
8,AF2,Fazzini; M.; Orso; A. ,Automated cross-platform inconsistency detection for mobile apps,2017,International Conference on Automated Software Engineering (ASE)
9,AF3,D He; L Li; L Wang; H Zheng; G Li; J Xue. ,Understanding and detecting evolution-induced compatibility issues in Android apps,2018,International Conference on Automated Software Engineering (ASE)
10,AF4,H Huang; L Wei; Y Liu. ,Understanding and detecting callback compatibility issues for Android applications,2018,International Conference on Automated Software Engineering (ASE)
11,AF5,H Khalid; M Nagappan; E Shihab. ,Prioritizing the devices to test your app on: A case study of android game apps,2014,International Symposium on Foundations of Software Engineering (FSE)
12,AF6,Kowalczyk; E.; Cohen; M.B.; Memon; A.M. ,Configurations in android testing: They matter,2018,International Workshop on Advances in Mobile App Analysis (A-Mobile)
13,AF7,L Li; TF Bissyande; H Wang; J Klein. ,Cid: Automating the detection of api-related compatibility issues in android apps,2018,International Symposium on Software Testing and Analysis (ISSTA)
14,AF10,Lu; X.; Liu; X.; Li; H.; Xie; T.; Mei; Q.; Hao; D.; Huang; G.; Feng; F. ,PRADA: Prioritizing android devices for apps by mining large-scale usage data,2016,IEEE/ACM International Conference on Software Engineering (ICSE)
15,AF11,Q Naith; F Ciravegna. ,Hybrid Crowd-powered Approach for Compatibility Testing of Mobile Devices and Applications,2018,International Conference on Crowd Science and Engineering (ICCSE)
16,AF12,S Vilkomir. ,Multi-device coverage testing of mobile applications,2018,Software Quality Journal
17,BB3,Jun-fei Huang; Yun-zhan Gong. ,Remote Mobile Test System: A Mobile Phone Cloud for Application Testing,2012,IEEE International Conference on Cloud Computing Technology and Science (CloudCom)
18,BF4,L Wei; Y Liu; SC Cheung; H Huang. ,Understanding and detecting fragmentation-induced compatibility issues for android apps ,2018,IEEE Transactions on Software Engineering (TSE)
19,BF5,L Wei; Y Liu; SC Cheung. ,Taming Android fragmentation: Characterizing and detecting compatibility issues for Android apps,2016,International Conference on Automated Software Engineering (ASE)
20,CF2,C Li; C Xu; L Wei; J Wang; J Ma; J Lu. ,ELEGANT: Towards Effective Location of Fragmentation-Induced Compatibility Issues for Android Apps,2018,Asia-Pacific Software Engineering Conference (APSEC)
21,CF3,Q Naith; F Ciravegna. ,Mobile devices compatibility testing strategy via crowdsourcing,2018,International Journal of Crowd Science
